id,condiciones_clima,temperatura,temp_rocio,humedad,vel_viento,dir_viento,visibilidad,presion,precipitacion,niebla,lluvia,nieve
1760,llovizna,11.7,10.6,93.0,7.4,110,4.8,29.9,1.8,No,Si,No
2296,despejado,25.6,15.6,54.0,0.0,0,14.5,30.2,,No,No,No
230,principalmente_nublado,1.1,-9.4,46.0,9.3,0,16.1,30.1,,No,No,No
7934,despejado,6.1,-10.0,31.0,20.4,310,16.1,29.9,,No,No,No
545,despejado,8.9,-1.1,50.0,,0,16.1,29.9,,No,No,No
7476,nublado,10.6,7.2,80.0,11.1,180,14.5,30.1,,No,No,No
4917,despejado,4.4,-17.8,19.0,7.4,0,16.1,30.5,,No,No,No
2186,nublado,18.3,8.9,54.0,5.6,0,16.1,29.8,,No,No,No
6576,despejado,25.0,11.7,43.0,11.1,60,16.1,30.2,,No,No,No
1193,despejado,-1.1,-11.1,47.0,9.3,0,16.1,30.2,,No,No,No
1856,despejado,23.9,14.4,55.0,5.6,0,11.3,30.1,,No,No,No
7127,despejado,-9.4,-26.7,24.0,0.0,0,16.1,30.5,,No,No,No
1565,nublado,11.7,3.9,59.0,5.6,0,16.1,29.2,,No,No,No
1266,despejado,-4.4,-16.7,38.0,25.9,300,16.1,30.0,,No,No,No
3021,despejado,21.7,13.3,59.0,9.3,0,16.1,30.1,,No,No,No
1087,nublado,10.0,7.8,86.0,20.4,70,14.5,29.7,0.0,No,No,No
3593,llovizna,11.1,10.0,93.0,11.1,0,8.0,29.9,0.3,No,Si,No
8297,despejado,24.4,13.3,50.0,7.4,240,16.1,30.1,,No,No,No
7760,despejado,19.4,12.8,66.0,5.6,260,16.1,30.1,,No,No,No
2643,parcialmente nublado,2.2,-6.7,52.0,0.0,0,16.1,30.2,,No,No,No
4835,despejado,5.0,-1.7,62.0,5.6,0,16.1,30.1,,No,No,No
3690,nublado,3.9,-1.7,67.0,7.4,0,16.1,30.2,,No,No,No
7208,nublado,3.3,-1.7,70.0,,0,16.1,29.5,,No,No,No
4450,nublado,12.2,5.6,64.0,13.0,90,16.1,29.7,,No,No,No
1415,nublado,4.4,2.8,89.0,22.2,70,3.2,30.0,0.3,No,No,No
4620,despejado,11.1,1.7,53.0,5.6,0,16.1,30.2,,No,No,No
7319,nublado,11.7,-3.9,34.0,16.7,300,16.1,29.8,,No,No,No
4152,despejado,-17.8,-27.8,43.0,,0,16.1,30.5,,No,No,No
8079,nublado,13.3,8.9,75.0,5.6,0,12.9,29.9,,No,No,No
7236,nublado,20.6,19.4,93.0,5.6,0,4.0,29.9,4.1,No,No,No
1475,despejado,12.2,2.2,51.0,13.0,260,16.1,29.8,,No,No,No
378,parcialmente nublado,15.6,8.3,62.0,13.0,60,11.3,29.6,,No,No,No
5882,despejado,9.4,1.7,59.0,18.5,70,16.1,30.1,,No,No,No
460,nublado,7.2,1.1,65.0,,0,16.1,30.2,,No,No,No
6520,nublado,23.9,20.6,82.0,9.3,270,12.9,29.8,,No,No,No
1787,despejado,1.1,-7.8,52.0,20.4,310,16.1,29.7,,No,No,No
7447,llovizna,18.9,17.8,93.0,5.6,0,4.8,29.7,1.5,No,Si,No
3475,despejado,5.0,-6.1,45.0,14.8,50,16.1,30.3,,No,No,No
1302,despejado,24.4,12.8,48.0,5.6,0,16.1,30.1,,No,No,No
2422,nublado,9.4,-2.2,44.0,0.0,0,16.1,30.1,,No,No,No
6107,principalmente_nublado,6.1,1.7,74.0,5.6,110,16.1,30.4,,No,No,No
7668,nublado,12.8,11.7,93.0,9.3,0,4.8,29.9,0.3,No,No,No
3231,despejado,-11.1,-27.8,25.0,7.4,0,16.1,30.5,,No,No,No
5957,despejado,26.7,6.7,28.0,5.6,250,14.5,30.1,,No,No,No
3849,despejado,6.7,-8.9,32.0,5.6,0,16.1,30.2,,No,No,No
7060,despejado,17.8,3.3,38.0,5.6,260,16.1,30.2,,No,No,No
3207,despejado,2.2,-4.4,62.0,9.3,180,16.1,30.3,,No,No,No
6014,despejado,2.8,-15.6,25.0,9.3,0,16.1,30.4,,No,No,No
6805,nublado,7.2,5.0,86.0,11.1,70,6.4,29.9,,No,No,No
1712,nublado,18.3,17.2,93.0,9.3,0,8.0,29.8,1.0,No,No,No
7273,despejado,13.3,5.6,60.0,0.0,0,16.1,30.1,,No,No,No
7097,nublado,18.3,14.4,78.0,0.0,0,16.1,30.1,,No,No,No
7343,despejado,28.3,13.3,39.0,5.6,0,14.5,30.1,,No,No,No
1991,despejado,21.1,13.3,61.0,9.3,80,16.1,30.1,,No,No,No
5107,despejado,13.9,-3.9,29.0,13.0,240,16.1,29.8,,No,No,No
2245,nublado,1.7,0.0,89.0,18.5,70,6.4,30.2,0.5,No,No,No
1094,nublado,4.4,2.8,89.0,22.2,70,3.2,30.0,0.3,No,No,No
6272,despejado,9.4,-13.3,19.0,18.5,310,16.1,30.1,,No,No,No
2503,despejado,-1.1,-12.8,41.0,14.8,320,16.1,30.1,,No,No,No
352,nublado,3.3,-8.9,41.0,22.2,320,16.1,29.6,,No,No,No
2890,desconocido,15.0,-4.0,27.0,,0,,,,No,No,No
5092,principalmente_nublado,4.4,-1.1,68.0,14.8,250,16.1,29.4,,No,No,No
6902,bruma,14.4,10.6,78.0,0.0,0,9.7,29.9,,No,No,No
7025,despejado,17.2,5.0,45.0,0.0,0,16.1,30.1,,No,No,No
1210,despejado,17.8,3.9,40.0,9.3,320,16.1,30.3,,No,No,No
5641,despejado,15.6,2.2,41.0,9.3,90,16.1,30.2,,No,No,No
4499,despejado,11.7,-2.2,38.0,9.3,300,16.1,29.9,,No,No,No
8099,despejado,11.7,0.0,45.0,5.6,260,16.1,29.8,,No,No,No
3986,nublado,1.7,-7.8,50.0,0.0,0,16.1,30.4,,No,No,No
3279,despejado,3.3,-3.9,60.0,13.0,300,16.1,29.8,,No,No,No
6715,despejado,3.9,-7.2,45.0,14.8,300,16.1,30.0,,No,No,No
6927,bruma,22.2,17.8,76.0,0.0,0,8.0,30.1,,No,No,No
3643,parcialmente nublado,5.6,-3.3,53.0,13.0,290,16.1,29.9,,No,No,No
1802,nublado,10.6,-0.6,46.0,14.8,160,16.1,30.0,,No,No,No
1778,nieve,0.0,-2.0,87.0,18.5,360,0.8,30.1,0.0,Si,No,Si
5338,despejado,24.4,17.2,64.0,11.1,0,12.9,30.1,,No,No,No
5809,nublado,11.1,3.3,59.0,,0,16.1,29.5,,No,No,No
8247,parcialmente nublado,0.6,-11.7,40.0,7.4,0,16.1,30.0,,No,No,No
2755,nublado,19.4,16.7,84.0,5.6,0,12.9,29.9,,No,No,No
4118,llovizna,1.1,-0.6,89.0,7.4,40,2.4,30.1,0.8,No,Si,No
625,nublado,-1.7,-13.9,40.0,9.3,0,16.1,30.1,,No,No,No
5978,despejado,26.7,20.6,69.0,0.0,0,14.5,29.7,,No,No,No
6296,despejado,13.3,7.2,67.0,0.0,0,16.1,30.0,,No,No,No
5397,despejado,13.3,-5.6,27.0,0.0,0,16.1,30.3,,No,No,No
7484,nublado,4.4,-0.6,70.0,14.8,190,16.1,30.1,,No,No,No
7458,despejado,16.1,-1.1,31.0,9.3,0,16.1,30.2,,No,No,No
6345,nublado,3.9,-1.1,70.0,16.7,250,16.1,29.5,,No,No,No
4926,nubes dispersas,22.2,15.6,66.0,16.7,60,16.1,30.2,,No,No,No
3791,principalmente_nublado,21.1,19.4,90.0,,0,6.4,29.7,,No,No,No
2593,despejado,1.1,-7.8,52.0,20.4,310,16.1,29.7,,No,No,No
7079,despejado,13.3,-4.4,29.0,5.6,0,16.1,30.1,,No,No,No
5380,parcialmente nublado,27.2,22.2,74.0,5.6,0,11.3,29.8,,No,No,No
6750,llovizna,6.7,-2.2,53.0,18.5,30,16.1,30.1,0.0,No,Si,No
2137,despejado,13.9,6.1,59.0,0.0,0,16.1,30.1,,No,No,No
4397,nubes dispersas,25.6,16.1,56.0,,0,14.5,30.0,,No,No,No
179,despejado,10.6,2.2,56.0,18.5,80,16.1,30.1,,No,No,No
6765,nieve ligera,2.2,-4.4,62.0,7.4,0,3.2,30.0,0.0,No,No,Si
2586,despejado,27.8,18.3,56.0,0.0,0,11.3,30.1,,No,No,No
6331,despejado,26.0,9.0,34.0,16.7,270,16.1,30.0,,No,No,No
4213,despejado,19.0,15.0,78.0,5.6,270,16.1,29.9,,No,No,No
6096,despejado,9.4,0.0,52.0,14.8,180,16.1,30.2,,No,No,No
7289,nublado,-1.7,-13.9,40.0,9.3,0,16.1,30.1,,No,No,No
2002,nublado,12.8,0.6,43.0,0.0,0,16.1,30.1,,No,No,No
831,despejado,17.2,7.8,54.0,5.6,70,16.1,30.3,,No,No,No
6690,nublado,11.1,2.2,54.0,7.4,60,16.1,30.1,,No,No,No
2681,nublado,2.2,0.0,86.0,22.2,70,4.8,30.2,0.5,No,No,No
3074,llovizna,21.7,20.6,93.0,0.0,0,2.8,29.8,3.0,No,Si,No
3230,principalmente_nublado,25.0,19.4,71.0,9.3,160,14.5,29.9,,No,No,No
2563,despejado,-3.3,-18.3,31.0,29.6,310,16.1,29.8,,No,No,No
940,nublado,11.1,6.1,71.0,7.4,0,16.1,30.0,,No,No,No
6188,despejado,0.6,-9.4,48.0,13.0,350,16.1,30.1,,No,No,No
6786,llovizna,12.8,11.7,93.0,16.7,170,4.0,29.6,0.0,No,Si,No
5526,despejado,0.0,-17.2,27.0,16.7,320,16.1,30.0,,No,No,No
2264,despejado,27.8,13.3,41.0,7.4,0,16.1,30.0,,No,No,No
376,despejado,3.9,-6.1,49.0,16.7,20,16.1,30.0,,No,No,No
7968,nublado,3.9,-13.9,27.0,5.6,0,16.1,30.1,,No,No,No
3234,despejado,1.7,-8.9,46.0,0.0,0,16.1,30.1,,No,No,No
385,despejado,0.0,-12.2,40.0,13.0,310,16.1,30.2,,No,No,No
1939,despejado,15.0,-3.3,28.0,0.0,0,16.1,30.4,,No,No,No
6079,despejado,0.0,-13.9,35.0,13.0,30,16.1,30.3,,No,No,No
8237,lluvia,5.6,3.9,89.0,20.4,70,4.8,29.5,2.0,No,Si,No
941,nublado,10.0,6.7,80.0,18.5,50,16.1,29.8,,No,No,No
1388,nublado,18.9,17.2,90.0,0.0,0,9.7,29.9,,No,No,No
1930,despejado,11.1,1.7,53.0,5.6,0,16.1,30.2,,No,No,No
7576,parcialmente nublado,7.8,-12.8,22.0,7.4,40,16.1,30.1,,No,No,No
5985,nieve ligera,-1.1,-3.9,82.0,7.4,0,3.2,29.8,0.0,No,No,Si
746,principalmente_nublado,11.7,8.9,83.0,11.1,170,16.1,29.3,,No,No,No
2697,llovizna,17.8,15.6,87.0,7.4,0,6.4,29.8,1.3,No,Si,No
6206,nublado,12.2,6.1,66.0,0.0,0,16.1,29.6,,No,No,No
7981,despejado,7.2,0.0,60.0,0.0,0,16.1,30.1,,No,No,No
1459,parcialmente nublado,13.3,8.3,72.0,13.0,70,16.1,30.4,,No,No,No
3133,bruma,17.8,14.4,80.0,5.6,60,8.0,30.1,,No,No,No
1498,nubes dispersas,17.2,7.8,54.0,9.3,10,16.1,29.9,,No,No,No
3999,despejado,28.3,19.4,58.0,7.4,0,16.1,29.8,,No,No,No
7722,principalmente_nublado,4.4,-1.7,65.0,20.4,40,16.1,30.1,,No,No,No
7276,despejado,3.9,-10.0,36.0,20.4,60,16.1,30.3,,No,No,No
7478,parcialmente nublado,16.7,10.0,65.0,7.4,0,16.1,30.4,,No,No,No
7587,nublado,12.8,5.6,62.0,0.0,0,16.1,30.1,,No,No,No
7344,despejado,14.4,-2.2,32.0,9.3,190,16.1,30.0,,No,No,No
1644,nublado,15.0,8.9,67.0,0.0,0,16.1,29.8,,No,No,No
4310,nublado,10.0,8.9,93.0,5.6,0,9.7,29.8,,No,No,No
6930,nublado,2.2,-11.7,36.0,13.0,60,16.1,30.3,,No,No,No
1690,despejado,18.9,17.2,90.0,5.6,0,12.9,29.7,,No,No,No
2134,bruma,19.4,16.7,84.0,0.0,0,8.0,30.0,0.0,No,No,No
4224,despejado,11.7,-3.3,35.0,11.1,0,16.1,29.8,,No,No,No
7503,principalmente_nublado,20.0,11.1,56.0,11.1,0,16.1,30.3,,No,No,No
7670,despejado,-0.6,-14.4,35.0,9.3,0,16.1,30.6,,No,No,No
6506,nubes dispersas,12.2,6.1,66.0,5.6,0,16.1,29.8,,No,No,No
943,principalmente_nublado,7.2,-2.8,49.0,,0,16.1,30.1,,No,No,No
3161,parcialmente nublado,-7.8,-16.7,50.0,16.7,360,16.1,30.3,,No,No,No
116,nublado,21.1,9.4,47.0,9.3,360,16.1,29.9,,No,No,No
7018,despejado,18.3,8.9,54.0,0.0,0,16.1,29.9,,No,No,No
7430,despejado,0.0,-12.2,40.0,13.0,310,16.1,30.2,,No,No,No
1881,despejado,26.0,9.0,34.0,13.0,260,16.1,30.0,,No,No,No
2322,despejado,13.9,10.6,81.0,0.0,0,11.3,29.9,,No,No,No
6672,nublado,26.1,17.8,60.0,14.8,50,16.1,30.0,0.0,No,No,No
4839,nieve ligera,-1.1,-2.8,88.0,11.1,80,4.0,30.2,1.0,No,No,Si
4957,nublado,8.9,5.0,77.0,16.7,60,14.5,29.9,,No,No,No
6602,nubes dispersas,17.2,7.8,54.0,9.3,10,16.1,29.9,,No,No,No
6780,despejado,-12.8,-27.2,30.0,,0,16.1,30.5,,No,No,No
1491,bruma,24.4,17.2,64.0,13.0,160,9.7,29.9,,No,No,No
6454,nublado,10.0,7.2,83.0,18.5,70,14.5,29.8,,No,No,No
4047,despejado,22.0,19.0,83.0,0.0,0,16.1,29.9,,No,No,No
4644,despejado,8.3,1.7,63.0,0.0,0,16.1,30.4,,No,No,No
2899,lluvia fuerte,18.9,14.4,75.0,11.1,0,2.8,29.7,0.0,No,Si,No
7383,nublado,0.0,-9.4,50.0,9.3,0,16.1,30.1,,No,No,No
5384,bruma,12.8,8.9,77.0,0.0,0,9.7,29.9,,No,No,No
1034,despejado,27.2,19.4,62.0,0.0,0,12.9,29.9,,No,No,No
73,bruma,13.9,8.9,72.0,11.1,70,9.7,29.7,,No,No,No
648,despejado,22.8,12.8,53.0,11.1,0,16.1,30.1,,No,No,No
2304,nublado,10.0,7.8,86.0,20.4,70,14.5,29.7,0.0,No,No,No
665,nublado,6.7,1.7,71.0,,0,16.1,30.3,,No,No,No
2975,nubes dispersas,22.2,10.6,48.0,7.4,0,16.1,30.1,,No,No,No
1972,despejado,6.7,-2.2,53.0,,0,16.1,30.4,,No,No,No
2814,bruma,29.4,22.8,67.0,7.4,0,9.7,29.7,,No,No,No
476,despejado,23.0,14.0,57.0,11.1,240,16.1,30.0,,No,No,No
5857,llovizna,21.7,20.6,93.0,0.0,0,6.4,29.8,0.3,No,Si,No
7498,despejado,22.2,13.9,59.0,9.3,70,16.1,30.2,,No,No,No
7443,principalmente_nublado,27.8,18.9,58.0,7.4,0,12.9,30.0,,No,No,No
5438,nublado,7.2,-1.7,53.0,11.1,280,16.1,29.7,,No,No,No
3758,nubes dispersas,22.2,7.8,40.0,18.5,160,16.1,29.9,,No,No,No
3697,despejado,2.8,-15.6,25.0,14.8,260,16.1,30.4,,No,No,No
2873,lluvia,5.6,3.9,89.0,20.4,70,4.8,29.5,2.0,No,Si,No
1485,despejado,17.8,8.3,54.0,0.0,0,16.1,29.9,,No,No,No
5313,despejado,26.7,6.7,28.0,5.6,250,14.5,30.1,,No,No,No
7656,principalmente_nublado,1.1,-11.1,40.0,24.1,70,16.1,30.2,,No,No,No
6194,desconocido,21.0,6.0,38.0,,0,,,,No,No,No
281,bruma,-1.1,-4.4,79.0,20.4,50,4.0,30.1,0.0,No,No,No
8449,nublado,15.6,6.1,53.0,0.0,0,16.1,30.1,,No,No,No
1368,nublado,1.7,-0.6,85.0,25.9,70,4.8,30.2,1.3,No,No,No
2358,lluvia,11.7,10.6,93.0,7.4,0,3.2,29.9,3.3,No,Si,No
7999,nublado,11.7,3.3,57.0,0.0,0,16.1,30.0,,No,No,No
2668,desconocido,20.0,8.9,49.0,9.3,300,16.1,29.9,,No,No,No
1228,llovizna,11.1,9.4,89.0,0.0,0,6.4,29.4,0.8,No,Si,No
8147,despejado,23.9,6.7,33.0,9.3,0,16.1,29.9,,No,No,No
2313,nublado,11.7,-3.9,34.0,16.7,300,16.1,29.8,,No,No,No
6108,llovizna,11.1,10.0,93.0,13.0,70,9.7,29.9,0.3,No,Si,No
6138,despejado,17.8,3.3,38.0,5.6,260,16.1,30.2,,No,No,No
6570,nublado,15.6,12.8,83.0,5.6,0,16.1,30.1,,No,No,No
5592,nublado,7.0,-4.0,46.0,16.7,60,16.1,30.3,,No,No,No
5907,nubes dispersas,26.1,21.7,77.0,,0,11.3,29.8,,No,No,No
7797,despejado,2.2,-6.7,52.0,0.0,0,16.1,30.3,,No,No,No
6741,llovizna,18.3,14.4,78.0,7.4,0,4.8,29.8,0.0,No,Si,No
5760,nublado,11.7,2.8,55.0,0.0,0,16.1,29.9,,No,No,No
4628,parcialmente nublado,7.8,-12.8,22.0,7.4,40,16.1,30.1,,No,No,No
4973,nubes dispersas,2.2,-12.8,33.0,18.5,50,16.1,30.1,,No,No,No
7682,despejado,26.0,8.0,32.0,7.4,290,16.1,30.0,,No,No,No
5929,despejado,20.6,-2.8,21.0,14.8,190,16.1,30.3,,No,No,No
4789,nubes dispersas,20.0,14.0,68.0,0.0,0,12.9,30.1,,No,No,No
35,nublado,10.0,2.2,59.0,5.6,200,16.1,30.1,,No,No,No
7041,principalmente_nublado,20.0,10.6,55.0,14.8,80,16.1,30.3,,No,No,No
5203,bruma,21.1,17.8,81.0,7.4,260,8.0,30.0,,No,No,No
6118,despejado,6.7,-5.6,42.0,18.5,300,16.1,29.9,,No,No,No
7644,nublado,3.3,2.2,93.0,0.0,0,1.6,30.0,0.0,No,No,No
2449,despejado,12.2,2.2,51.0,13.0,260,16.1,29.8,,No,No,No
3817,despejado,25.6,17.2,60.0,9.3,0,12.9,30.0,,No,No,No
2067,nublado,7.2,6.1,93.0,0.0,0,4.8,30.0,,No,No,No
3518,despejado,4.4,-12.2,29.0,22.2,310,16.1,29.8,,No,No,No
5000,despejado,5.0,-5.6,47.0,,0,16.1,30.2,,No,No,No
2110,nublado,10.0,8.3,89.0,16.7,70,4.8,29.8,0.3,No,No,No
3337,despejado,3.3,-6.7,48.0,16.7,250,16.1,30.0,,No,No,No
756,despejado,8.3,1.1,61.0,5.6,50,16.1,30.4,,No,No,No
3073,despejado,8.9,1.7,61.0,0.0,0,16.1,30.5,,No,No,No
4974,despejado,20.0,4.4,36.0,22.2,20,16.1,29.8,,No,No,No
2782,nublado,1.7,-0.6,85.0,33.3,70,8.0,30.2,0.3,No,No,No
4677,nubes dispersas,7.8,-12.2,23.0,0.0,0,16.1,30.1,,No,No,No
4822,nublado,17.8,14.4,80.0,9.3,70,12.9,30.2,,No,No,No
2945,despejado,27.8,18.3,56.0,7.4,0,12.9,30.0,,No,No,No
5624,nublado,20.6,19.4,93.0,7.4,0,4.0,29.7,,No,No,No
3629,despejado,4.4,-12.2,29.0,22.2,310,16.1,29.8,,No,No,No
1299,despejado,5.6,-8.3,37.0,13.0,290,16.1,29.7,,No,No,No
4170,despejado,16.7,10.0,65.0,7.4,0,14.5,30.2,,No,No,No
1325,despejado,11.7,-3.3,35.0,11.1,0,16.1,29.8,,No,No,No
561,nublado,11.1,9.4,89.0,5.6,70,9.7,29.9,,No,No,No
1628,despejado,28.3,8.3,28.0,5.6,0,12.9,30.0,,No,No,No
6611,parcialmente nublado,13.3,7.8,69.0,9.3,0,16.1,30.1,,No,No,No
1239,principalmente_nublado,8.3,-3.9,42.0,22.2,310,16.1,30.0,,No,No,No
1855,despejado,1.1,-9.4,46.0,16.7,20,16.1,30.1,,No,No,No
3467,nublado,10.0,6.1,77.0,16.7,70,16.1,29.8,,No,No,No
5230,despejado,17.2,11.1,67.0,0.0,0,16.1,29.9,,No,No,No
7214,despejado,15.6,2.2,41.0,9.3,90,16.1,30.2,,No,No,No
6248,despejado,8.3,1.1,61.0,,0,16.1,30.3,,No,No,No
6347,despejado,17.2,3.9,41.0,11.1,0,16.1,30.2,,No,No,No
101,nublado,2.2,0.0,86.0,20.4,10,16.1,29.9,0.0,No,No,No
7830,nubes dispersas,11.7,7.8,77.0,0.0,0,11.3,29.6,,No,No,No
3254,despejado,-2.2,-16.1,34.0,11.1,30,16.1,30.5,,No,No,No
2431,lluvia congelante ligera,0.6,-1.1,89.0,13.0,90,4.8,30.2,0.8,No,Si,No
100,despejado,31.1,17.8,45.0,11.1,170,11.3,30.1,,No,No,No
3866,nublado,0.0,-4.4,73.0,14.8,10,16.1,30.0,,No,No,No
3311,despejado,5.6,-10.6,31.0,0.0,0,16.1,30.4,,No,No,No
4818,nublado,16.1,14.4,90.0,0.0,0,8.0,29.9,0.5,No,No,No
8081,parcialmente nublado,8.9,0.6,56.0,16.7,300,16.1,30.0,,No,No,No
3163,nublado,15.6,13.3,86.0,,0,16.1,29.3,0.3,No,No,No
2113,nublado,19.4,12.2,63.0,5.6,180,14.5,29.7,,No,No,No
610,llovizna,11.1,9.4,89.0,11.1,180,3.2,29.4,0.3,No,Si,No
6318,despejado,-2.2,-19.4,26.0,0.0,0,16.1,30.6,,No,No,No
2838,desconocido,13.3,5.6,60.0,5.6,50,16.1,29.9,,No,No,No
3120,despejado,12.2,-5.0,30.0,7.4,0,16.1,30.3,,No,No,No
